Date,Domain,SiteTime
06/06/2015,bytes.com,67
06/06/2015,cnn.com,32
06/06/2015,cplusplus.com,183
06/06/2015,daniweb.com,497
06/06/2015,devtools,56
06/06/2015,dreamincode.net,97
06/06/2015,geeksforgeeks.org,129
06/06/2015,javabeginner.com,14
06/06/2015,javavideotutorials.net,104
06/06/2015,live.com,77
06/06/2015,mail.google.com,52
06/06/2015,msdn.microsoft.com,221
06/06/2015,oracle.com,265
06/06/2015,sites.google.com,830
06/06/2015,stackexchange.com,244
06/06/2015,stackoverflow.com,2001
06/06/2015,tutorialspoint.com,1287
06/06/2015,wordpress.com,5
06/06/2015,youtube.com,16
